hip,ra,dec,mag,proper
677,0.139791,29.090432,3.0,
746,0.152887,59.14978000000001,3.0,
765,0.156836,-45.747426,3.0,
1067,0.220598,15.183596,3.0,
1562,0.323799,-8.823921,3.0,
1599,0.334142,-64.874791,3.0,
1645,0.343295,8.190271000000001,3.0,
2021,0.427916,-77.25424699999998,3.0,
2072,0.436716,-43.679829,3.0,
2081,0.4380560000000001,-42.305981,3.0,
2484,0.525725,-62.958218,3.0,
3092,0.655462,30.861024,3.0,
3179,0.6751159999999999,56.53733100000001,3.0,
3419,0.72649,-17.986604999999994,3.0,
3760,0.804836,7.299927999999999,3.0,
3881,0.830234,41.078911,3.0,
4427,0.945143,60.71674,3.0,
4436,0.945885,38.499345,3.0,
4577,0.976766,-29.357449,3.0,
4889,1.046971,31.804263,3.0,
4906,1.049058,7.890135000000001,3.0,
5165,1.101407,-46.718414,3.0,
5348,1.139742,-55.24576,3.0,
5364,1.1431639999999998,-10.182264,3.0,
5447,1.162194,35.620558,3.0,
5742,1.229152,24.583713,3.0,
6193,1.324443,27.264059000000003,3.0,
6537,1.40039,-8.183257000000001,3.0,
6686,1.430216,60.235283,3.0,
6867,1.472759,-43.318234,3.0,
7007,1.503087,6.14382,3.0,
7083,1.520851,-49.072702,3.0,
7097,1.524725,15.345823,3.0,
7588,1.628556,-57.236757,3.0,
7884,1.6905259999999998,5.487613,3.0,
8102,1.734479,-15.93748,3.0,
8198,1.756564,9.157736,3.0,
8645,1.857676,-10.335038,3.0,
8796,1.884696,29.578829,3.0,
8832,1.89217,19.293852,3.0,
8833,1.892597,3.187536,3.0,
8837,1.894102,-46.302669,3.0,
8886,1.906584,63.670101,3.0,
8903,1.910668,20.808035,3.0,
9007,1.932564,-51.608896,3.0,
9236,1.979451,-61.569859,3.0,
9487,2.034117,2.763759,3.0,
9640,2.064984,42.329725,3.0,
9884,2.119555,23.462423,3.0,
10064,2.1590580000000004,34.987297,3.0,
10324,2.2166650000000003,8.846717,3.0,
10602,2.275154,-51.512165,3.0,
10670,2.288573,33.847194,3.0,
10826,2.322442,-2.977643,3.0,
11001,2.362498,-68.659418,3.0,
11345,2.432501,-12.29048,3.0,
11407,2.449755,-47.70384,3.0,
11484,2.469317,8.460054,3.0,
11767,2.52975,89.26410899999998,3.0,
11783,2.534786,-15.244677,3.0,
12093,2.597909,5.593246,3.0,
12387,2.658044,0.328511,3.0,
12390,2.659398,-11.872156,3.0,
12394,2.659799,-68.26694599999999,3.0,
12413,2.663326,-42.89167,3.0,
12484,2.677666,-54.549911,3.0,
12486,2.677781,-39.855375,3.0,
12706,2.721678,3.235818,3.0,
12770,2.735375,-13.858695999999998,3.0,
12828,2.749039,10.114146,3.0,
12843,2.7517150000000004,-18.572563,3.0,
13147,2.818169,-32.405898,3.0,
13209,2.833063,27.260507,3.0,
13254,2.843063,38.318644,3.0,
13268,2.844945,55.895496,3.0,
13701,2.940458,-8.898144,3.0,
13847,2.971023,-40.304672,3.0,
13954,2.99525,8.907364999999997,3.0,
14135,3.037992,4.089734,3.0,
14146,3.039863,-23.624472,3.0,
14240,3.060239,-59.737775,3.0,
14328,3.079942,53.50644000000001,3.0,
14354,3.0862700000000003,38.840274,3.0,
14576,3.136148,40.955648,3.0,
14879,3.201249,-28.987618,3.0,
15197,3.263896,-8.81973,3.0,
15474,3.325278,-21.757864,3.0,
15510,3.331944,-43.06978400000001,3.0,
15863,3.405378,49.86118,3.0,
15900,3.413554,9.02887,3.0,
16228,3.484482,59.94033,3.0,
16537,3.5488480000000004,-9.458262,3.0,
16611,3.563132,-21.632883,3.0,
17358,3.715416,47.787551,3.0,
17378,3.720806,-9.763395,3.0,
17440,3.736593,-64.806903,3.0,
17448,3.738648,32.288248,3.0,
17651,3.780804,-23.249723,3.0,
17678,3.787295,-74.238962,3.0,
17797,3.809963,-37.620155,3.0,
17847,3.819373,24.053415,3.0,
17874,3.824237,-36.20025,3.0,
17959,3.839302,71.332266,3.0,
18246,3.9022,31.883635,3.0,
18505,3.957067,63.072264,3.0,
18532,3.96423,40.010215,3.0,
18597,3.979095,-61.400185,3.0,
18614,3.98275,35.791033,3.0,
18724,4.0113379999999985,12.490347,3.0,
19747,4.233363,-42.294368,3.0,
19780,4.240404,-62.47385799999999,3.0,
19893,4.267097,-51.486648,3.0,
19921,4.274738,-59.302156,3.0,
20042,4.298237,-33.798348,3.0,
20205,4.329889,15.627642000000002,3.0,
20455,4.382247,17.542514,3.0,
20535,4.400613,-34.016846,3.0,
20648,4.424828,17.92791,3.0,
20889,4.476943,19.180431,3.0,
20894,4.477705,15.870883,3.0,
21060,4.513916,-44.953749,3.0,
21281,4.566598,-55.044975,3.0,
21393,4.592512,-30.562341,3.0,
21421,4.598677,16.509301,3.0,
21444,4.6053169999999986,-3.352459,3.0,
21594,4.6363400000000015,-14.30402,3.0,
21770,4.676039,-41.86375200000001,3.0,
21861,4.700965,-37.144297,3.0,
21881,4.704084,22.956926,3.0,
21949,4.717764,-70.931027,3.0,
22109,4.758375,-3.254657,3.0,
22449,4.830669,6.961276,3.0,
22509,4.843534,8.900176,3.0,
22549,4.853434,5.605104,3.0,
22701,4.881575,-5.4526949999999985,3.0,
22730,4.889659,2.508225,3.0,
22783,4.900836,66.342678,3.0,
22845,4.914924,10.150833,3.0,
23015,4.9498940000000005,33.166090000000004,3.0,
23123,4.975806,1.714016,3.0,
23453,5.041301,41.075837,3.0,
23685,5.091018,-22.371032,3.0,
23875,5.130829,-5.086446,3.0,
23972,5.15244,-8.754081,3.0,
24244,5.204973000000002,-11.869219,3.0,
24305,5.215528,-16.205468,3.0,
24327,5.220522,-12.941291,3.0,
24436,5.242298,-8.20164,3.0,
24608,5.27815,45.997991,3.0,
24845,5.326257,-13.176788,3.0,
24873,5.333062,-12.315585,3.0,
25110,5.376036,79.231149,3.0,
25336,5.418851,6.349702,3.0,
25428,5.438198000000001,28.60745,3.0,
25606,5.470756,-20.759441,3.0,
25859,5.520209,-35.470519,3.0,
25918,5.531318,-76.340964,3.0,
25930,5.533445,-0.299092,3.0,
25985,5.545504,-17.822289,3.0,
26069,5.560421,-62.489825,3.0,
26207,5.5856330000000005,9.934158,3.0,
26311,5.603559,-1.20192,3.0,
26451,5.627413,21.142549,3.0,
26634,5.660817,-34.074108,3.0,
